"Symbol","Description","Date","Time","Open","High","Low","Close","TotalVolume"
ABBV,NYSE,03.01.2020,10:45:00,89.065,89.070,89.040,89.060,5016
ABBV,NYSE,03.01.2020,10:46:00,89.048,89.060,88.990,89.060,6926
ABBV,NYSE,03.01.2020,10:47:00,89.070,89.080,89.030,89.040,6712
ABBV,NYSE,03.01.2020,10:48:00,89.040,89.060,89.013,89.060,4453
ABBV,NYSE,03.01.2020,10:49:00,89.060,89.120,89.020,89.080,15537
ABBV,NYSE,03.01.2020,10:50:00,89.080,89.080,88.970,88.970,13291
ABBV,NYSE,03.01.2020,10:51:00,88.970,88.970,88.860,88.875,6773
ABBV,NYSE,03.01.2020,10:52:00,88.870,88.880,88.780,88.800,11350
ABBV,NYSE,03.01.2020,10:53:00,88.804,88.830,88.750,88.830,8643
ABBV,NYSE,03.01.2020,10:54:00,88.820,88.870,88.815,88.846,5307
ABBV,NYSE,03.01.2020,10:55:00,88.849,88.850,88.800,88.812,6475
ABBV,NYSE,03.01.2020,10:56:00,88.810,88.810,88.685,88.690,9210
ABBV,NYSE,03.01.2020,10:57:00,88.695,88.770,88.680,88.770,7128
ABBV,NYSE,03.01.2020,10:58:00,88.790,88.900,88.770,88.900,5784
ABBV,NYSE,03.01.2020,10:59:00,88.920,88.970,88.890,88.970,6448
ABBV,NYSE,03.01.2020,11:00:00,88.970,89.010,88.960,88.970,13441
ABBV,NYSE,03.01.2020,11:01:00,88.950,88.990,88.920,88.920,10754
ABBV,NYSE,03.01.2020,11:02:00,88.900,88.910,88.870,88.880,4378
ABBV,NYSE,03.01.2020,11:03:00,88.874,88.874,88.840,88.860,22140
ABBV,NYSE,03.01.2020,11:04:00,88.861,88.900,88.860,88.900,7127
ABBV,NYSE,03.01.2020,11:05:00,88.917,88.920,88.861,88.862,4449
ABBV,NYSE,03.01.2020,11:06:00,88.879,88.879,88.820,88.820,4828
ABBV,NYSE,03.01.2020,11:07:00,88.801,88.801,88.740,88.740,11585
ABBV,NYSE,03.01.2020,11:08:00,88.750,88.790,88.750,88.780,7302
ABBV,NYSE,03.01.2020,11:09:00,88.780,88.790,88.740,88.785,6166
ABBV,NYSE,03.01.2020,11:10:00,88.790,88.800,88.740,88.740,9558
ABBV,NYSE,03.01.2020,11:11:00,88.737,88.737,88.690,88.720,19761
ABBV,NYSE,03.01.2020,11:12:00,88.710,88.790,88.710,88.790,5116
ABBV,NYSE,03.01.2020,11:13:00,88.790,88.860,88.790,88.860,6203
ABBV,NYSE,03.01.2020,11:14:00,88.877,88.920,88.870,88.920,6220
ABBV,NYSE,03.01.2020,11:15:00,88.920,88.950,88.900,88.900,7431
ABBV,NYSE,03.01.2020,11:16:00,88.900,88.900,88.810,88.845,6355
ABBV,NYSE,03.01.2020,11:17:00,88.844,88.870,88.844,88.870,7050
ABBV,NYSE,03.01.2020,11:18:00,88.870,88.930,88.870,88.920,2822
ABBV,NYSE,03.01.2020,11:19:00,88.910,88.916,88.850,88.860,2276
ABBV,NYSE,03.01.2020,11:20:00,88.850,88.876,88.850,88.860,3784
ABBV,NYSE,03.01.2020,11:21:00,88.850,88.870,88.845,88.850,1997
ABBV,NYSE,03.01.2020,11:22:00,88.845,88.900,88.845,88.889,7848
ABBV,NYSE,03.01.2020,11:23:00,88.900,88.970,88.897,88.940,16562
ABBV,NYSE,03.01.2020,11:24:00,88.950,88.955,88.910,88.920,10691
ABBV,NYSE,03.01.2020,11:25:00,88.925,88.930,88.880,88.920,6433
ABBV,NYSE,03.01.2020,11:26:00,88.915,88.915,88.870,88.870,5011
ABBV,NYSE,03.01.2020,11:27:00,88.880,88.880,88.841,88.867,4265
ABBV,NYSE,03.01.2020,11:28:00,88.870,88.905,88.870,88.905,12797
ABBV,NYSE,03.01.2020,11:29:00,88.910,88.925,88.850,88.860,9119
ABBV,NYSE,03.01.2020,11:30:00,88.855,88.855,88.830,88.850,1833
ABBV,NYSE,03.01.2020,11:31:00,88.855,88.890,88.850,88.850,14816
ABBV,NYSE,03.01.2020,11:32:00,88.850,88.860,88.840,88.860,4416
ABBV,NYSE,03.01.2020,11:33:00,88.873,88.900,88.870,88.891,3532
ABBV,NYSE,03.01.2020,11:34:00,88.890,88.900,88.870,88.878,4555
ABBV,NYSE,03.01.2020,11:35:00,88.880,88.990,88.880,88.980,11475
ABBV,NYSE,03.01.2020,11:36:00,88.990,89.000,88.970,88.991,15753
ABBV,NYSE,03.01.2020,11:37:00,89.000,89.050,88.990,89.011,11149
ABBV,NYSE,03.01.2020,11:38:00,89.010,89.040,88.990,88.990,7048
ABBV,NYSE,03.01.2020,11:39:00,88.990,89.025,88.980,89.020,7936
ABBV,NYSE,03.01.2020,11:40:00,89.030,89.110,89.030,89.100,6408
